Distance_(pixels),Gray_Value
1093,64.039
1094,65.741
1095,68.404
1096,70.433
1097,73.458
1098,76.421
1099,77.302
1100,77.009
1101,75.661
1102,73.793
1103,72.338
1104,71.472
1105,71.449
1106,71.144
1107,70.566
1108,69.807
1109,67.000
1110,62.406
1111,58.076
1112,57.355
1113,59.815
1114,62.942
1115,65.588
1116,63.557
1117,56.027
1118,50.553
1119,49.613
1120,49.697
1121,50.035
1122,49.500
1123,48.376
1124,47.761
1125,47.667
1126,48.862
1127,50.234
1128,51.455
1129,51.864
1130,50.120
1131,48.161
1132,46.643
1133,44.750
1134,42.536
1135,40.242
1136,38.951
1137,39.303
1138,40.953
1139,42.532
1140,43.163
1141,43.306
1142,42.935
1143,41.238
1144,38.822
1145,37.201
1146,38.426
1147,42.854
1148,48.420
1149,54.482
1150,62.189
1151,70.101
1152,76.264
1153,81.771
1154,92.974
1155,103.490
1156,105.206
1157,100.161
1158,92.560
1159,89.326
1160,89.278
1161,89.769
1162,89.209
1163,88.676
1164,92.020
1165,99.149
1166,103.333
1167,99.717
1168,91.500
1169,84.252
1170,77.505
1171,71.463
1172,67.387
1173,63.500
1174,60.244
1175,56.872
1176,52.330
1177,48.271
1178,46.136
1179,46.486
1180,48.256
1181,48.416
1182,46.422
1183,44.333
1184,44.232
1185,45.786
1186,47.553
1187,47.833
1188,46.875
1189,45.904
1190,44.892
1191,44.379
1192,44.517
1193,44.500
1194,43.175
1195,42.499
1196,43.150
1197,44.284
1198,45.730
1199,46.206
1200,45.572
1201,44.000
1202,41.087
1203,38.216
1204,35.574
1205,32.978
1206,30.969
1207,28.123
1208,25.747
1209,25.529
1210,26.364
1211,25.699
1212,23.271
1213,20.944
1214,19.206
1215,17.708
1216,16.038
1217,13.897
1218,10.531
1219,7.275
1220,5.616
1221,4.939
1222,5.108
1223,5.842
1224,7.021
1225,8.017
1226,9.167
1227,9.500
1228,8.500
1229,7.208
1230,5.714
1231,4.833
1232,4.500
1233,4.333
1234,4.421
1235,5.341
1236,6.917
